PARK,ATTENDANCE,year,Region
Bahia Honda,495818,2006,SouthEast
Anastasia,488804,2006,CentralWest
John U. Lloyd Beach,467124,2006,SouthEast
Delnor-Wiggins Pass,461819,2006,SouthWest
Blue Spring,455925,2006,CentralEast
Stump Pass Beach,378075,2006,SouthWest
Skyway State Fishing Pier,330787,2006,CentralWest
Homosassa Springs,326623,2006,CentralWest
Oleta River,319048,2006,SouthEast
Myakka River,310084,2006,CentralWest
Caladesi Island,294547,2006,CentralWest
Fanning Springs,281346,2006,NorthCentral
Fort Zachary Taylor,280755,2006,SouthEast
Crystal River Preserve,272841,2006,CentralWest
Wekiwa Springs,240412,2006,Central
Henderson Beach,239120,2006,NorthWest
Hugh Taylor Birch,236127,2006,SouthEast
De Leon Springs,232243,2006,CentralEast
Silver Springs State Park,229453,2006,Central
Fort Clinch,214631,2006,NorthEast
Highlands Hammock,214607,2006,Central
Amelia Island,206355,2006,NorthEast
Rainbow Springs,197588,2006,Central
Paynes Prairie,194662,2006,NorthCentral
Wakulla Springs State Park,189407,2006,NorthCentral
Fort Pierce Inlet,187354,2006,CentralEast
Hillsborough River,182296,2006,CentralWest
Topsail Hill State Preserve,181439,2006,NorthWest
Ichetucknee Springs,181387,2006,NorthCentral
Big Talbot Island,174464,2006,NorthEast
Avalon,171335,2006,CentralEast
Egmont Key,170907,2006,CentralWest
Anclote Key,169436,2006,CentralWest
Alfred B. Maclay Gardens,168241,2006,NorthCentral
St. Joseph,166744,2006,NorthWest
St. George Island,157837,2006,NorthWest
Jonathan Dickinson,154426,2006,SouthEast
Ravine Gardens,152236,2006,NorthEast
Flagler Beach,134607,2006,NorthEast
Manatee Springs,134110,2006,NorthCentral
Big Lagoon,123372,2006,NorthWest
Fakahatchee Strand,118337,2006,SouthWest
Tomoka,113768,2006,CentralEast
John D MacArthur Beach,113713,2006,SouthEast
Oscar Scherer,112186,2006,CentralWest
Grayton Beach,105486,2006,NorthWest
Little Talbot Island,104922,2006,NorthEast
Lake Louisa,103427,2006,Central
Florida Caverns,99519,2006,NorthWest
Shell Island,98423,2006,NorthEast
North Peninsula,88912,2006,CentralEast
Collier-Seminole,79600,2006,SouthWest
Rocky Bayou,79016,2006,NorthWest
Blackwater River,73787,2006,NorthWest
Long Key,72860,2006,SouthEast
